"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"C1, C28, C29, C30";"C_0402_1005Metric";4;"1uF";;;
2;"C2, C9, C12";"C_0603_1608Metric";3;"10uF";;;
3;"C3, C5, C31";"C_0402_1005Metric";3;"10uF";;;
4;"C4";"C_0201_0603Metric";1;"47nF";;;
5;"C6";"C_0603_1608Metric";1;"44uF";;;
6;"C7, C8";"C_0805_2012Metric";2;"10uF";;;
7;"C10, C11, C13";"C_0805_2012Metric";3;"22uF";;;
8;"C14, C15, C19, C20, C21, C22, C23, C24, C25, C26, C27, C37";"C_0201_0603Metric";12;"100nF";;;
9;"C16";"C_0603_1608Metric";1;"2.2uF";;;
10;"C17, C18";"C_0402_1005Metric";2;"22uF";;;
11;"C32";"C_0201_0603Metric";1;"2.2uF";;;
12;"C33, C34";"C_0201_0603Metric";2;"20pF";;;
13;"C35, C36";"C_0201_0603Metric";2;"6.8pF";;;
14;"Card1";"TF-SMD_TF-01A";1;"TF-01A";;;
15;"D1";"LED_0402_1005Metric";1;"LED";;;
16;"J1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
17;"J2, J3";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
18;"L4";"L0603";1;"FCM1608KF-601T03";;;
19;"L5";"L2520";1;"DFE252012F-1R0M=P2";;;
20;"L6";"IND-SMD_L4.0-W4.0-A";1;"XFL4020-152MEC";;;
21;"L7";"IND-SMD_L3.0-W3.0";1;"YHNR3015-5R6M";;;
22;"LED1";"LED-SMD_4P-L1.6-W1.5-TR-1";1;"SZYY1615RGB-B 4PIN";;;
23;"R1, R2";"R_0201_0603Metric";2;"5.1k";;;
24;"R3";"R_0201_0603Metric";1;"383";;;
25;"R4";"R_0201_0603Metric";1;"5.23K";;;
26;"R5";"R_0201_0603Metric";1;"30.1K";;;
27;"R6, R7, R8, R9, R10, R11, R12, R13, R16, R17, R18, R19, R20, R21, R22";"R_0201_0603Metric";15;"10K";;;
28;"R14";"R_0402_1005Metric";1;"100K";;;
29;"R15";"R_0402_1005Metric";1;"22.1K";;;
30;"R23";"R_0201_0603Metric";1;"330";;;
31;"R24, R25";"R_0201_0603Metric";2;"220";;;
32;"SW1, SW2";"SW-SMD_L3.9-W3.0-P4.45";2;"TS-1088-AR02016";;;
33;"U1";"VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8";1;"BQ25883RGER";;;
34;"U3";"LQFP-64_10x10mm_P0.5mm";1;"STM32F722RETx";;;
35;"U5";"VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR";1;"TPS63070RNMR";;;
36;"U6";"SOT-23-6";1;"LMR51430";;;
37;"U7";"LGA-14_L3.0-W2.5-P0.50-TL";1;"ICM-45686";;;
38;"U8";"LGA-10_L2.0-W2.0-P0.50-TL_BMP580";1;"BMP580";;;
39;"USB1";"USB-C-SMD_TYPE-C-16PIN-2MD-073";1;"TYPE-C 16PIN 2MD";;;
40;"X1";"CRYSTAL-SMD_4P-L3.2-W2.5-BL";1;"X322525MOB4SI";;;
41;"X2";"FC-135R_L3.2-W1.5";1;"Q13FC1350000400";;;
